frame.number,frame.time,frame.time_delta,,frame.len,mac-lte.rnti,mac-lte.direction
79,Aug 13 2019 19:24:06.148951000 MST,0.020053,2.035166,548,70,0
80,Aug 13 2019 19:24:06.164867000 MST,0.015916,2.051082,88,70,1
81,Aug 13 2019 19:24:06.168802000 MST,0.003935,2.055017,548,70,0
82,Aug 13 2019 19:24:06.185822000 MST,0.01702,2.072037,72,70,1
83,Aug 13 2019 19:24:06.188849000 MST,0.003027,2.075064,548,70,0
84,Aug 13 2019 19:24:06.207819000 MST,0.01897,2.094034,340,70,1
85,Aug 13 2019 19:24:06.208891000 MST,0.001072,2.095106,548,70,0
86,Aug 13 2019 19:24:06.221833000 MST,0.012942,2.108048,72,70,1
87,Aug 13 2019 19:24:06.248840000 MST,0.027007,2.135055,548,70,0
88,Aug 13 2019 19:24:06.249864000 MST,0.001024,2.136079,3837,70,1
89,Aug 13 2019 19:24:06.260916000 MST,0.011052,2.147131,88,70,1
90,Aug 13 2019 19:24:06.268921000 MST,0.008005,2.155136,548,70,0
91,Aug 13 2019 19:24:06.288963000 MST,0.020042,2.175178,548,70,0
92,Aug 13 2019 19:24:06.309011000 MST,0.020048,2.195226,548,70,0
93,Aug 13 2019 19:24:06.321915000 MST,0.012904,2.20813,188,70,1
94,Aug 13 2019 19:24:06.348851000 MST,0.026936,2.235066,2976,70,1
95,Aug 13 2019 19:24:06.368971000 MST,0.02012,2.255186,548,70,0
96,Aug 13 2019 19:24:06.378030000 MST,0.009059,2.264245,1707,70,0
97,Aug 13 2019 19:24:06.379004000 MST,0.000974,2.265219,1707,70,0
98,Aug 13 2019 19:24:06.379977000 MST,0.000973,2.266192,660,70,0
99,Aug 13 2019 19:24:06.386968000 MST,0.006991,2.273183,1707,70,0
100,Aug 13 2019 19:24:06.388060000 MST,0.001092,2.274275,1707,70,0
101,Aug 13 2019 19:24:06.390920000 MST,0.00286,2.277135,72,70,1
102,Aug 13 2019 19:24:06.392845000 MST,0.001925,2.27906,72,70,1
103,Aug 13 2019 19:24:06.408879000 MST,0.016034,2.295094,548,70,0
104,Aug 13 2019 19:24:06.421832000 MST,0.012953,2.308047,128,70,1
105,Aug 13 2019 19:24:06.468914000 MST,0.047082,2.355129,548,70,0
106,Aug 13 2019 19:24:06.478048000 MST,0.009134,2.364263,1707,70,0
107,Aug 13 2019 19:24:06.479075000 MST,0.001027,2.36529,1707,70,0
108,Aug 13 2019 19:24:06.479987000 MST,0.000912,2.366202,1707,70,0
109,Aug 13 2019 19:24:06.481036000 MST,0.001049,2.367251,1542,70,0
110,Aug 13 2019 19:24:06.482236000 MST,0.0012,2.368451,1707,70,0
111,Aug 13 2019 19:24:06.483017000 MST,0.000781,2.369232,1707,70,0
112,Aug 13 2019 19:24:06.484071000 MST,0.001054,2.370286,1707,70,0
113,Aug 13 2019 19:24:06.484791000 MST,0.00072,2.371006,404,70,0
114,Aug 13 2019 19:24:06.487061000 MST,0.00227,2.373276,1707,70,0
115,Aug 13 2019 19:24:06.487964000 MST,0.000903,2.374179,1707,70,0
116,Aug 13 2019 19:24:06.489050000 MST,0.001086,2.375265,1707,70,0
117,Aug 13 2019 19:24:06.490122000 MST,0.001072,2.376337,1707,70,0
118,Aug 13 2019 19:24:06.490142000 MST,0.00002,2.376357,72,70,1
119,Aug 13 2019 19:24:06.491067000 MST,0.000925,2.377282,1707,70,0
120,Aug 13 2019 19:24:06.492108000 MST,0.001041,2.378323,72,70,1
121,Aug 13 2019 19:24:06.492108000 MST,0,2.378323,1707,70,0
122,Aug 13 2019 19:24:06.493118000 MST,0.00101,2.379333,72,70,1
123,Aug 13 2019 19:24:06.493128000 MST,0.00001,2.379343,1707,70,0
124,Aug 13 2019 19:24:06.494931000 MST,0.001803,2.381146,72,70,1
125,Aug 13 2019 19:24:06.496827000 MST,0.001896,2.383042,72,70,1
126,Aug 13 2019 19:24:06.509017000 MST,0.01219,2.395232,548,70,0
127,Aug 13 2019 19:24:06.510996000 MST,0.001979,2.397211,732,70,1
128,Aug 13 2019 19:24:06.511971000 MST,0.000975,2.398186,108,70,1
129,Aug 13 2019 19:24:06.517996000 MST,0.006025,2.404211,1707,70,0
130,Aug 13 2019 19:24:06.519077000 MST,0.001081,2.405292,1707,70,0
131,Aug 13 2019 19:24:06.520164000 MST,0.001087,2.406379,1707,70,0
132,Aug 13 2019 19:24:06.520829000 MST,0.000665,2.407044,452,70,0
133,Aug 13 2019 19:24:06.526989000 MST,0.00616,2.413204,1707,70,0
134,Aug 13 2019 19:24:06.528001000 MST,0.001012,2.414216,1707,70,0
135,Aug 13 2019 19:24:06.528905000 MST,0.000904,2.41512,1707,70,0
136,Aug 13 2019 19:24:06.529968000 MST,0.001063,2.416183,1446,70,0
137,Aug 13 2019 19:24:06.530929000 MST,0.000961,2.417144,72,70,1
138,Aug 13 2019 19:24:06.531804000 MST,0.000875,2.418019,72,70,1
139,Aug 13 2019 19:24:06.538914000 MST,0.00711,2.425129,72,70,1
140,Aug 13 2019 19:24:06.548895000 MST,0.009981,2.43511,548,70,0
141,Aug 13 2019 19:24:06.628921000 MST,0.080026,2.515136,548,70,0
142,Aug 13 2019 19:24:06.638043000 MST,0.009122,2.524258,1707,70,0
143,Aug 13 2019 19:24:06.638879000 MST,0.000836,2.525094,1707,70,0
144,Aug 13 2019 19:24:06.639844000 MST,0.000965,2.526059,47,70,0
145,Aug 13 2019 19:24:06.646901000 MST,0.007057,2.533116,1707,70,0
146,Aug 13 2019 19:24:06.650842000 MST,0.003941,2.537057,72,70,1
147,Aug 13 2019 19:24:06.655849000 MST,0.005007,2.542064,72,70,1
148,Aug 13 2019 19:24:06.656903000 MST,0.001054,2.543118,1158,70,1
149,Aug 13 2019 19:24:06.708900000 MST,0.051997,2.595115,548,70,0
150,Aug 13 2019 19:24:06.786907000 MST,0.078007,2.673122,708,70,1
151,Aug 13 2019 19:24:06.828842000 MST,0.041935,2.715057,548,70,0
152,Aug 13 2019 19:24:06.888873000 MST,0.060031,2.775088,548,70,0
153,Aug 13 2019 19:24:06.897982000 MST,0.009109,2.784197,1707,70,0
154,Aug 13 2019 19:24:06.899007000 MST,0.001025,2.785222,1707,70,0
155,Aug 13 2019 19:24:06.899963000 MST,0.000956,2.786178,1707,70,0
156,Aug 13 2019 19:24:06.900960000 MST,0.000997,2.787175,1446,70,0
157,Aug 13 2019 19:24:06.906998000 MST,0.006038,2.793213,1707,70,0
158,Aug 13 2019 19:24:06.907928000 MST,0.00093,2.794143,1707,70,0
159,Aug 13 2019 19:24:06.908932000 MST,0.001004,2.795147,1707,70,0
160,Aug 13 2019 19:24:06.909923000 MST,0.000991,2.796138,72,70,1
161,Aug 13 2019 19:24:06.911825000 MST,0.001902,2.79804,188,70,1
162,Aug 13 2019 19:24:06.912880000 MST,0.001055,2.799095,72,70,1
163,Aug 13 2019 19:24:06.919889000 MST,0.007009,2.806104,88,70,1
164,Aug 13 2019 19:24:06.949005000 MST,0.029116,2.83522,548,70,0
165,Aug 13 2019 19:24:06.961910000 MST,0.012905,2.848125,136,70,1
166,Aug 13 2019 19:24:06.988887000 MST,0.026977,2.875102,548,70,0
167,Aug 13 2019 19:24:06.988933000 MST,0.000046,2.875148,2976,70,1
168,Aug 13 2019 19:24:07.001827000 MST,0.012894,2.888042,72,70,1
169,Aug 13 2019 19:24:07.008928000 MST,0.007101,2.895143,548,70,0
170,Aug 13 2019 19:24:07.028779000 MST,0.019851,2.914994,3837,70,1
171,Aug 13 2019 19:24:07.033949000 MST,0.00517,2.920164,708,70,1
172,Aug 13 2019 19:24:07.034819000 MST,0.00087,2.921034,108,70,1
173,Aug 13 2019 19:24:07.048864000 MST,0.014045,2.935079,548,70,0
174,Aug 13 2019 19:24:07.061832000 MST,0.012968,2.948047,128,70,1
175,Aug 13 2019 19:24:07.068952000 MST,0.00712,2.955167,548,70,0
176,Aug 13 2019 19:24:07.088972000 MST,0.02002,2.975187,548,70,0
177,Aug 13 2019 19:24:07.097951000 MST,0.008979,2.984166,1707,70,0
178,Aug 13 2019 19:24:07.098968000 MST,0.001017,2.985183,1707,70,0
179,Aug 13 2019 19:24:07.100065000 MST,0.001097,2.98628,1707,70,0
180,Aug 13 2019 19:24:07.100946000 MST,0.000881,2.987161,1542,70,0
181,Aug 13 2019 19:24:07.101957000 MST,0.001011,2.988172,982,70,0
182,Aug 13 2019 19:24:07.106965000 MST,0.005008,2.99318,1707,70,0
183,Aug 13 2019 19:24:07.108038000 MST,0.001073,2.994253,1707,70,0
184,Aug 13 2019 19:24:07.108888000 MST,0.00085,2.995103,1707,70,0
185,Aug 13 2019 19:24:07.110973000 MST,0.002085,2.997188,72,70,1
186,Aug 13 2019 19:24:07.112884000 MST,0.001911,2.999099,128,70,1
187,Aug 13 2019 19:24:07.128894000 MST,0.01601,3.015109,548,70,0
188,Aug 13 2019 19:24:07.141822000 MST,0.012928,3.028037,364,70,1
189,Aug 13 2019 19:24:07.147852000 MST,0.00603,3.034067,732,70,1
190,Aug 13 2019 19:24:07.148894000 MST,0.001042,3.035109,108,70,1
191,Aug 13 2019 19:24:07.168804000 MST,0.01991,3.055019,548,70,0
192,Aug 13 2019 19:24:07.184915000 MST,0.016111,3.07113,72,70,1
193,Aug 13 2019 19:24:07.213858000 MST,0.028943,3.100073,1206,70,1
194,Aug 13 2019 19:24:07.248840000 MST,0.034982,3.135055,548,70,0
195,Aug 13 2019 19:24:07.257991000 MST,0.009151,3.144206,1707,70,0
196,Aug 13 2019 19:24:07.259069000 MST,0.001078,3.145284,1707,70,0
197,Aug 13 2019 19:24:07.259950000 MST,0.000881,3.146165,1707,70,0
198,Aug 13 2019 19:24:07.261015000 MST,0.001065,3.14723,1542,70,0
199,Aug 13 2019 19:24:07.262147000 MST,0.001132,3.148362,1707,70,0
200,Aug 13 2019 19:24:07.262929000 MST,0.000782,3.149144,1707,70,0
201,Aug 13 2019 19:24:07.264054000 MST,0.001125,3.150269,1707,70,0
202,Aug 13 2019 19:24:07.264948000 MST,0.000894,3.151163,404,70,0
203,Aug 13 2019 19:24:07.267058000 MST,0.00211,3.153273,1707,70,0
204,Aug 13 2019 19:24:07.267950000 MST,0.000892,3.154165,1707,70,0
205,Aug 13 2019 19:24:07.268954000 MST,0.001004,3.155169,1707,70,0
206,Aug 13 2019 19:24:07.270052000 MST,0.001098,3.156267,1707,70,0
207,Aug 13 2019 19:24:07.270094000 MST,0.000042,3.156309,128,70,1
208,Aug 13 2019 19:24:07.270955000 MST,0.000861,3.15717,1707,70,0
209,Aug 13 2019 19:24:07.270979000 MST,0.000024,3.157194,72,70,1
210,Aug 13 2019 19:24:07.272019000 MST,0.00104,3.158234,1707,70,0
211,Aug 13 2019 19:24:07.272048000 MST,0.000029,3.158263,72,70,1
212,Aug 13 2019 19:24:07.273058000 MST,0.00101,3.159273,1707,70,0
213,Aug 13 2019 19:24:07.273079000 MST,0.000021,3.159294,72,70,1
214,Aug 13 2019 19:24:07.273792000 MST,0.000713,3.160007,128,70,1
215,Aug 13 2019 19:24:07.274867000 MST,0.001075,3.161082,72,70,1
216,Aug 13 2019 19:24:07.275944000 MST,0.001077,3.162159,72,70,1
217,Aug 13 2019 19:24:07.276850000 MST,0.000906,3.163065,72,70,1
218,Aug 13 2019 19:24:07.288922000 MST,0.012072,3.175137,548,70,0
219,Aug 13 2019 19:24:07.298123000 MST,0.009201,3.184338,1707,70,0
220,Aug 13 2019 19:24:07.299059000 MST,0.000936,3.185274,1707,70,0
221,Aug 13 2019 19:24:07.300038000 MST,0.000979,3.186253,1707,70,0
222,Aug 13 2019 19:24:07.300983000 MST,0.000945,3.187198,1542,70,0
223,Aug 13 2019 19:24:07.302009000 MST,0.001026,3.188224,1707,70,0
224,Aug 13 2019 19:24:07.302938000 MST,0.000929,3.189153,548,70,0
225,Aug 13 2019 19:24:07.306984000 MST,0.004046,3.193199,1707,70,0
226,Aug 13 2019 19:24:07.308047000 MST,0.001063,3.194262,1707,70,0
227,Aug 13 2019 19:24:07.309095000 MST,0.001048,3.19531,1707,70,0
228,Aug 13 2019 19:24:07.310106000 MST,0.001011,3.196321,1707,70,0
229,Aug 13 2019 19:24:07.310116000 MST,0.00001,3.196331,72,70,1
230,Aug 13 2019 19:24:07.311176000 MST,0.00106,3.197391,1707,70,0
231,Aug 13 2019 19:24:07.311206000 MST,0.00003,3.197421,72,70,1
232,Aug 13 2019 19:24:07.311977000 MST,0.000771,3.198192,1707,70,0
233,Aug 13 2019 19:24:07.312037000 MST,0.00006,3.198252,128,70,1
234,Aug 13 2019 19:24:07.312879000 MST,0.000842,3.199094,208,70,0
235,Aug 13 2019 19:24:07.313902000 MST,0.001023,3.200117,72,70,1
236,Aug 13 2019 19:24:07.315974000 MST,0.002072,3.202189,1707,70,0
237,Aug 13 2019 19:24:07.317052000 MST,0.001078,3.203267,1707,70,0
238,Aug 13 2019 19:24:07.317898000 MST,0.000846,3.204113,72,70,1
239,Aug 13 2019 19:24:07.318920000 MST,0.001022,3.205135,886,70,0
240,Aug 13 2019 19:24:07.318948000 MST,0.000028,3.205163,72,70,1
241,Aug 13 2019 19:24:07.320085000 MST,0.001137,3.2063,1707,70,0
242,Aug 13 2019 19:24:07.320112000 MST,0.000027,3.206327,128,70,1
243,Aug 13 2019 19:24:07.320948000 MST,0.000836,3.207163,1542,70,0
244,Aug 13 2019 19:24:07.320991000 MST,0.000043,3.207206,72,70,1
245,Aug 13 2019 19:24:07.322045000 MST,0.001054,3.20826,1078,70,0
246,Aug 13 2019 19:24:07.322100000 MST,0.000055,3.208315,72,70,1
247,Aug 13 2019 19:24:07.323951000 MST,0.001851,3.210166,188,70,1
