frame.number,frame.time,frame.time_delta,,frame.len,mac-lte.rnti,mac-lte.direction
1,Aug 13 2019 20:14:08.618284000 MST,0,0,22,2,1
2,Aug 13 2019 20:14:08.628244000 MST,0.00996,0.00996,22,70,0
3,Aug 13 2019 20:14:08.642346000 MST,0.014102,0.024062,56,70,1
4,Aug 13 2019 20:14:08.663406000 MST,0.02106,0.045122,172,70,0
5,Aug 13 2019 20:14:08.664223000 MST,0.000817,0.045939,34,70,1
6,Aug 13 2019 20:14:08.665303000 MST,0.00108,0.047019,34,70,1
7,Aug 13 2019 20:14:08.683243000 MST,0.01794,0.064959,548,70,0
8,Aug 13 2019 20:14:08.723336000 MST,0.040093,0.105052,548,70,0
9,Aug 13 2019 20:14:08.724204000 MST,0.000868,0.10592,72,70,1
10,Aug 13 2019 20:14:08.743394000 MST,0.01919,0.12511,532,70,0
11,Aug 13 2019 20:14:08.883394000 MST,0.14,0.26511,532,70,0
12,Aug 13 2019 20:14:08.884243000 MST,0.000849,0.265959,47,70,1
13,Aug 13 2019 20:14:08.885294000 MST,0.001051,0.26701,43,70,1
14,Aug 13 2019 20:14:08.903252000 MST,0.017958,0.284968,548,70,0
15,Aug 13 2019 20:14:08.904313000 MST,0.001061,0.286029,41,70,1
16,Aug 13 2019 20:14:08.923305000 MST,0.018992,0.305021,532,70,0
17,Aug 13 2019 20:14:08.924345000 MST,0.00104,0.306061,33,70,1
18,Aug 13 2019 20:14:08.943354000 MST,0.019009,0.32507,548,70,0
19,Aug 13 2019 20:14:08.944196000 MST,0.000842,0.325912,120,70,1
20,Aug 13 2019 20:14:08.945266000 MST,0.00107,0.326982,120,70,1
21,Aug 13 2019 20:14:08.963225000 MST,0.017959,0.344941,532,70,0
22,Aug 13 2019 20:14:08.964287000 MST,0.001062,0.346003,22,70,1
23,Aug 13 2019 20:14:08.983274000 MST,0.018987,0.36499,532,70,0
24,Aug 13 2019 20:14:08.984334000 MST,0.00106,0.36605,22,70,1
25,Aug 13 2019 20:14:09.145251000 MST,0.160917,0.526967,72,70,1
26,Aug 13 2019 20:14:09.163366000 MST,0.018115,0.545082,548,70,0
27,Aug 13 2019 20:14:09.563298000 MST,0.399932,0.945014,548,70,0
28,Aug 13 2019 20:14:09.576239000 MST,0.012941,0.957955,88,70,1
29,Aug 13 2019 20:14:09.583344000 MST,0.007105,0.96506,548,70,0
30,Aug 13 2019 20:14:09.603209000 MST,0.019865,0.984925,548,70,0
31,Aug 13 2019 20:14:09.622367000 MST,0.019158,1.004083,200,70,1
32,Aug 13 2019 20:14:09.623257000 MST,0.00089,1.004973,548,70,0
33,Aug 13 2019 20:14:09.643314000 MST,0.020057,1.02503,548,70,0
34,Aug 13 2019 20:14:09.655369000 MST,0.012055,1.037085,148,70,1
35,Aug 13 2019 20:14:09.672220000 MST,0.016851,1.053936,128,70,1
36,Aug 13 2019 20:14:09.683235000 MST,0.011015,1.064951,548,70,0
37,Aug 13 2019 20:14:09.692326000 MST,0.009091,1.074042,548,70,0
38,Aug 13 2019 20:14:09.696346000 MST,0.00402,1.078062,216,70,1
39,Aug 13 2019 20:14:09.705209000 MST,0.008863,1.086925,72,70,1
40,Aug 13 2019 20:14:09.706284000 MST,0.001075,1.088,240,70,1
41,Aug 13 2019 20:14:09.707315000 MST,0.001031,1.089031,88,70,1
42,Aug 13 2019 20:14:09.723328000 MST,0.016013,1.105044,548,70,0
43,Aug 13 2019 20:14:09.733223000 MST,0.009895,1.114939,88,70,1
44,Aug 13 2019 20:14:09.743375000 MST,0.010152,1.125091,548,70,0
45,Aug 13 2019 20:14:09.752246000 MST,0.008871,1.133962,72,70,0
46,Aug 13 2019 20:14:09.761330000 MST,0.009084,1.143046,332,70,0
47,Aug 13 2019 20:14:09.770393000 MST,0.009063,1.152109,588,70,0
48,Aug 13 2019 20:14:09.795367000 MST,0.024974,1.177083,72,70,1
49,Aug 13 2019 20:14:09.811296000 MST,0.015929,1.193012,72,70,1
50,Aug 13 2019 20:14:09.812221000 MST,0.000925,1.193937,232,70,1
51,Aug 13 2019 20:14:09.823228000 MST,0.011007,1.204944,548,70,0
52,Aug 13 2019 20:14:09.830308000 MST,0.00708,1.212024,176,70,1
53,Aug 13 2019 20:14:09.835282000 MST,0.004974,1.216998,308,70,1
54,Aug 13 2019 20:14:09.843274000 MST,0.007992,1.22499,548,70,0
55,Aug 13 2019 20:14:09.855331000 MST,0.012057,1.237047,1398,70,1
56,Aug 13 2019 20:14:09.863351000 MST,0.00802,1.245067,548,70,0
57,Aug 13 2019 20:14:09.883386000 MST,0.020035,1.265102,548,70,0
58,Aug 13 2019 20:14:09.887261000 MST,0.003875,1.268977,72,70,1
59,Aug 13 2019 20:14:09.896306000 MST,0.009045,1.278022,1398,70,1
60,Aug 13 2019 20:14:09.903252000 MST,0.006946,1.284968,548,70,0
61,Aug 13 2019 20:14:09.909234000 MST,0.005982,1.29095,420,70,1
62,Aug 13 2019 20:14:09.912303000 MST,0.003069,1.294019,56,70,0
63,Aug 13 2019 20:14:09.921325000 MST,0.009022,1.303041,340,70,0
64,Aug 13 2019 20:14:09.943346000 MST,0.022021,1.325062,548,70,0
65,Aug 13 2019 20:14:09.953238000 MST,0.009892,1.334954,160,70,1
66,Aug 13 2019 20:14:09.955220000 MST,0.001982,1.336936,72,70,1
67,Aug 13 2019 20:14:09.956296000 MST,0.001076,1.338012,364,70,1
68,Aug 13 2019 20:14:09.957316000 MST,0.00102,1.339032,388,70,1
69,Aug 13 2019 20:14:09.971335000 MST,0.014019,1.353051,72,70,1
70,Aug 13 2019 20:14:09.983268000 MST,0.011933,1.364984,548,70,0
71,Aug 13 2019 20:14:10.003320000 MST,0.020052,1.385036,548,70,0
72,Aug 13 2019 20:14:10.023359000 MST,0.020039,1.405075,548,70,0
73,Aug 13 2019 20:14:10.031305000 MST,0.007946,1.413021,188,70,1
74,Aug 13 2019 20:14:10.063280000 MST,0.031975,1.444996,548,70,0
75,Aug 13 2019 20:14:10.076241000 MST,0.012961,1.457957,72,70,1
76,Aug 13 2019 20:14:10.103212000 MST,0.026971,1.484928,548,70,0
77,Aug 13 2019 20:14:11.883437000 MST,1.780225,3.265153,548,70,0
78,Aug 13 2019 20:14:11.947231000 MST,0.063794,3.328947,88,70,1
79,Aug 13 2019 20:14:11.983267000 MST,0.036036,3.364983,548,70,0
80,Aug 13 2019 20:14:11.992318000 MST,0.009051,3.374034,56,70,0
81,Aug 13 2019 20:14:12.056415000 MST,0.064097,3.438131,256,70,1
82,Aug 13 2019 20:14:12.083339000 MST,0.026924,3.465055,548,70,0
83,Aug 13 2019 20:14:16.463225000 MST,4.379886,7.844941,548,70,0
84,Aug 13 2019 20:14:16.476322000 MST,0.013097,7.858038,88,70,1
85,Aug 13 2019 20:14:16.503320000 MST,0.026998,7.885036,548,70,0
86,Aug 13 2019 20:14:16.756310000 MST,0.25299,8.138026,1398,70,1
87,Aug 13 2019 20:14:16.803331000 MST,0.047021,8.185047,548,70,0
88,Aug 13 2019 20:14:16.816277000 MST,0.012946,8.197993,1851,70,1
