frame.number,frame.time,frame.time_delta,frame.len,mac-lte.rnti,mac-lte.direction
1,Aug 13 2019 20:00:36.613346000 MST,0.000000000,22,2,1
2,Aug 13 2019 20:00:36.623302000 MST,0.009956000,22,70,0
3,Aug 13 2019 20:00:36.637378000 MST,0.014076000,56,70,1
4,Aug 13 2019 20:00:36.658307000 MST,0.020929000,172,70,0
5,Aug 13 2019 20:00:36.659272000 MST,0.000965000,34,70,1
6,Aug 13 2019 20:00:36.660391000 MST,0.001119000,34,70,1
7,Aug 13 2019 20:00:36.678321000 MST,0.017930000,548,70,0
8,Aug 13 2019 20:00:36.718430000 MST,0.040109000,548,70,0
9,Aug 13 2019 20:00:36.719256000 MST,0.000826000,72,70,1
10,Aug 13 2019 20:00:36.738302000 MST,0.019046000,548,70,0
11,Aug 13 2019 20:00:36.878293000 MST,0.139991000,548,70,0
12,Aug 13 2019 20:00:36.879283000 MST,0.000990000,47,70,1
13,Aug 13 2019 20:00:36.880380000 MST,0.001097000,43,70,1
14,Aug 13 2019 20:00:36.898339000 MST,0.017959000,548,70,0
15,Aug 13 2019 20:00:36.899357000 MST,0.001018000,41,70,1
16,Aug 13 2019 20:00:36.918380000 MST,0.019023000,548,70,0
17,Aug 13 2019 20:00:36.919214000 MST,0.000834000,22,70,1
18,Aug 13 2019 20:00:36.920275000 MST,0.001061000,33,70,1
19,Aug 13 2019 20:00:36.938428000 MST,0.018153000,548,70,0
20,Aug 13 2019 20:00:36.939247000 MST,0.000819000,120,70,1
21,Aug 13 2019 20:00:36.940358000 MST,0.001111000,120,70,1
22,Aug 13 2019 20:00:36.958307000 MST,0.017949000,548,70,0
23,Aug 13 2019 20:00:36.959320000 MST,0.001013000,22,70,1
24,Aug 13 2019 20:00:36.978344000 MST,0.019024000,548,70,0
25,Aug 13 2019 20:00:36.979364000 MST,0.001020000,22,70,1
26,Aug 13 2019 20:00:37.141370000 MST,0.162006000,72,70,1
27,Aug 13 2019 20:00:37.158267000 MST,0.016897000,548,70,0
28,Aug 13 2019 20:00:37.578429000 MST,0.420162000,548,70,0
29,Aug 13 2019 20:00:37.591313000 MST,0.012884000,88,70,1
30,Aug 13 2019 20:00:37.598296000 MST,0.006983000,548,70,0
31,Aug 13 2019 20:00:37.611358000 MST,0.013062000,100,70,1
32,Aug 13 2019 20:00:37.618387000 MST,0.007029000,548,70,0
33,Aug 13 2019 20:00:37.631263000 MST,0.012876000,72,70,1
34,Aug 13 2019 20:00:37.638392000 MST,0.007129000,548,70,0
35,Aug 13 2019 20:00:37.646323000 MST,0.007931000,120,70,1
36,Aug 13 2019 20:00:37.651304000 MST,0.004981000,88,70,1
37,Aug 13 2019 20:00:37.658262000 MST,0.006958000,548,70,0
